,guess,information
0,raise,5.877909690821481
1,slate,5.8557753769559655
2,crate,5.834874004263521
3,irate,5.831396980440789
4,trace,5.830548713859442
5,arise,5.8209397008860035
6,stare,5.807280035160929
7,snare,5.770088860457003
8,arose,5.767796702404353
9,least,5.75164564567927
10,alert,5.745836550944613
11,crane,5.742781744697181
12,stale,5.7385726717904895
13,saner,5.733713267350087
14,alter,5.713170728077566
15,later,5.7060889572947895
16,react,5.696353951200043
17,leant,5.684573501404133
18,trade,5.681560869582507
19,learn,5.656074382048374
20,cater,5.646714898485081
21,roast,5.6451934500610665
22,aisle,5.636827622829472
23,trice,5.634236581503793
24,scare,5.630489493703488
25,parse,5.629691003590092
26,saute,5.620200903567958
27,heart,5.614518956629292
28,alone,5.614035882733971
29,store,5.610465734674015
30,alien,5.6095337891796895
31,share,5.608309347595908
32,grate,5.604083148440463
33,trail,5.591217966320829
34,siren,5.583402556140071
35,snore,5.578529550882131
36,caste,5.570506836905424
37,scale,5.565172531817353
38,atone,5.557517924509436
39,renal,5.555059401418772
40,dealt,5.5547626249919935
41,spare,5.5512082283142
42,train,5.550772862791718
43,plate,5.549879272497885
44,clear,5.548955370331098
45,rinse,5.5477532236489715
46,teary,5.538001726156844
47,shale,5.5366676906023224
48,solar,5.536233051451222
49,trial,5.536153949727725
50,glare,5.533163120364075
51,pearl,5.529942508066667
52,lance,5.521382195233993
53,stole,5.519419630280293
54,canoe,5.516656352048813
55,sonar,5.516330359854335
56,stair,5.5144666509763685
57,slice,5.5140920773363105
58,crone,5.513073926443138
59,tenor,5.5109254736239865
60,taper,5.5096628148213815
61,saint,5.506725385818213
62,route,5.497868072287212
63,slant,5.492667409725503
64,cleat,5.489950316579259
65,tread,5.489401473695658
66,blare,5.489099373634188
67,hater,5.484930990017603
68,steal,5.48009844932143
69,tried,5.4781306121011175
70,plane,5.471540041454991
71,rouse,5.4715290699599715
72,paler,5.464838977755659
73,loser,5.464573599865148
74,suite,5.458855924655323
75,tripe,5.458827716356037
76,crest,5.458308319019989
77,shear,5.455857074965442
78,sauce,5.4516074623124915
79,great,5.451086533589169
80,shire,5.4498341111797775
81,large,5.445788802645664
82,tamer,5.440075583411066
83,noise,5.436815246368449
84,stone,5.436301698507004
85,adore,5.43557721861687
86,lapse,5.432351878442421
87,score,5.431460831055093
88,close,5.4297513961397375
89,trope,5.427866871409215
90,table,5.425587066208474
91,shore,5.423006779807282
92,paste,5.421904483143788
93,horse,5.4210851239205535
94,leapt,5.418119667603723
95,truce,5.417510483420884
96,grace,5.4171983219306306
97,earth,5.415126787465736
98,risen,5.414273194614315
99,cause,5.410599932593124
100,liner,5.4044073890346365
101,aider,5.401612889475351
102,lathe,5.397525457213556
103,drone,5.397330091815501
104,haste,5.397207465610851
105,carol,5.3915322002630335
106,brace,5.390863359450799
107,prose,5.389718883962309
108,yeast,5.386118522622785
109,clone,5.385966322795025
110,snarl,5.384792524642558
111,coast,5.383204736941749
112,place,5.382929027003378
113,slain,5.382783452559959
114,spear,5.381116194467562
115,flare,5.377380516185069
116,prone,5.3753180716998825
117,spire,5.373607580234056
118,realm,5.371962331134755
119,beast,5.371544753108615
120,panel,5.369860210568177
121,range,5.368066199491965
122,cairn,5.367931479160455
123,pleat,5.366346460947782
124,satin,5.364484005357493
125,cadet,5.36441626825462
126,meant,5.362752372674031
127,leash,5.361860070234872
128,plier,5.360555141443255
129,layer,5.360411010376144
130,stern,5.357714827022323
131,drape,5.35716045828744
132,louse,5.356774577590211
133,yearn,5.355936006764153
134,urine,5.353581842004465
135,coral,5.350114628516867
136,tonal,5.349624928862462
137,ratio,5.348651696809389
138,slide,5.347630503252601
139,snort,5.3460849611970485
140,tribe,5.343156453333854
141,since,5.3429054976562975
142,clean,5.341880965656945
143,resin,5.341160685933128
144,arson,5.340565805036798
145,spore,5.339149842789518
146,inert,5.339045783208278
147,lager,5.337209330368827
148,snail,5.335312315261386
149,cedar,5.335038365850594
150,curse,5.3348168478818865
151,talon,5.334635562319446
152,salon,5.332359609709615
153,baler,5.33234742534626
154,caper,5.331900059988715
155,triad,5.330471276949359
156,their,5.3275186014865215
157,stage,5.325268264685901
158,petal,5.3250461888967155
159,enact,5.323889276896796
160,inlet,5.321632260784965
161,price,5.318989569425346
